record_id,name,name_ar,name_en,district,operator_type,verification_status,confidence,source_id,source_url,retrieved_at
ibb-hospital-osm-node-1223293454,الوحدة الصحية بالمقهاية,الوحدة الصحية بالمقهاية,Al Wahdah as Sihhiyah bil Maqhayah,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8818225617,الوحدة الصحية جمعة الرزع,,lwHd@ lSHy@ jm`@ lrz`,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8818156618,الوحدة الصحية سطاح,,lwHd@ lSHy@ sTH,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223293076,الوحدة الصحية مدحجين,الوحدة الصحية مدحجين,Al Wahdah as Sihhiyah Mudahijin,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223291238,الوحدة الصحية نجد مور,الوحدة الصحية نجد مور,Al Wahdah as Sihhiyah Najd Mur,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-6936554177,حدبان,حدبان,Hadban,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223290331,مركز صحي المفتاح,مركز صحي المفتاح,Markaz Sihhiy al Muftah,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-4905412621,الوحده الصحيه عزلة العبس,الوحده الصحيه عزلة العبس,lwHdh lSHyh `zl@ l`bs,As Saddah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1222014045,مستشفى الشهيد علي عبد المغني,مستشفى الشهيد علي عبد المغني,Mustashfa ash Shahid Ali Abd al Mughanni,As Saddah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223244428,الوحدة الصحية النقيلين,الوحدة الصحية النقيلين,Al Wahdah as Sihhiyah an Naqilin,As Saiyani,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223244585,الوحدة الصحية بالسياني,الوحدة الصحية بالسياني,Al Wahdah as Sihhiyah bis Siyanah,As Saiyani,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1218208805,مركز صحي هدفان,مركز صحي هدفان,Markaz Sihhiy Hadfan,As Saiyani,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1218218875,المركز الصحي بر رباط,المركز الصحي بر رباط,Al Markaz as Sihhiy bir Rabat,Ash Sha'ir,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-4460562090,مركز جدابه الصحي مراد الهتار,مركز جدابه الصحي مراد الهتار,mrkz jdbh lSHy mrd lhtr,Ba'dan,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-6303687685,مستشفى القاعدة,مستشفى القاعدة,Alqaida hospital,Dhi As Sufal,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-4811814924,مستوصف القاعدة,مستوصف القاعدة,mstwSf lq`d@,Dhi As Sufal,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-12006274571,مستوصف دار العلوم,,Dar Al-Aulom,Dhi As Sufal,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-way-991049555,Unnamed hospital (way/991049555),,,Far' Al Odayn,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1217856638,المركز الصحي بالمزاحن,المركز الصحي بالمزاحن,Al Markaz as Sihhiy bil Mizahin,Far' Al Odayn,public,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8567854821,مركز الكدرة الصحي,,alkadara health center,Far' Al Odayn,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1221840474,المركز الصحي بالأيعون,المركز الصحي بالأيعون,المركز الصحي بالأيعون,Hazm Al Odayn,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1224315023,الوحدة الصحية الشعاور,الوحدة الصحية الشعاور,Al Wahdah as Sihhiyah ash Shaawar,Hazm Al Odayn,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223293130,وحدة صحية الظروف,وحدة صحية الظروف,Wahdah Sihhiyah az Ziruf,Hazm Al Odayn,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1224315037,المركز الصحي بني شبيب,المركز الصحي بني شبيب,Al Markaz as Sihhiy Bani Shubayb,Hobeish,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223292355,وحدة صحية حبران,وحدة صحية حبران,Wahdah Sihhiyah Hibran,Hobeish,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-6937224474,مستشفى جبلة,مستشفى جبلة,Mustashfa Jiblah,Jiblah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-4464769290,مستشفى جبله,مستشفى جبله,Jiblah hospital,Jiblah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-7672799175,مستوصف السرايم,,Clinic,Jiblah,public,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1219347979,معهد جبله,معهد جبله,Bin Akil,Jiblah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1219347924,مكتبة جبلة,مكتبة جبلة,Jiblah library,Jiblah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1222019303,المركز الصحي خوران,المركز الصحي خوران,Al Markaz as Sihhiy Khuran,Yarim,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223210722,مستشفى يحصب يريم,مستشفى يحصب يريم,Mustashfa Yahsab Yarim,Yarim,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1869315399,مستشفى يريم العام,,mstshf~ yrym l`m,Yarim,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
